Accn	Pfam	Pfam_desc	CDD	CDD_desc	InterPro	InterPro_desc	GO	KEGG	EC	TIGRFAM	TIGRFAM_desc	HAMAP	HAMAP_desc	CAZy
NODE_6_length_217728_cov_7.34607_162995_165477_+	PF01558;PF12367;PF17147;PF01855;PF02775	Pyruvate ferredoxin/flavodoxin oxidoreductase;Pyruvate ferredoxin oxidoreductase beta subunit C terminal;Pyruvate:ferredoxin oxidoreductase core domain II;Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg;Thiamine pyrophosphate enzyme, C-terminal TPP binding domain			IPR019752;IPR032686;IPR033412;IPR011896;IPR022367;IPR002880;IPR011766	Pyruvate/ketoisovalerate oxidoreductase, catalytic domain;Pyruvate ferredoxin oxidoreductase beta subunit, C-terminal;Pyruvate:ferredoxin oxidoreductase, core domain II;2-oxoacid:acceptor oxidoreductase, beta subunit;2-oxoacid:acceptor oxidoreductase, alpha subunit;Pyruvate flavodoxin/ferredoxin oxidoreductase, N-terminal;Thiamine pyrophosphate enzyme, C-terminal TPP-binding	GO:0016903;GO:0003824;GO:0030976;GO:0055114;GO:0016491	ko00650;ko00620;ko00010;ko00020	1.2.7.11	TIGR02177;TIGR03710	PorB_KorB: 2-oxoacid:acceptor oxidoreductase, beta subunit, pyruvate/2-ketoisovalerate family;OAFO_sf: 2-oxoacid:acceptor oxidoreductase, alpha subunit			
NODE_6_length_217728_cov_7.34607_1636_3504_+	PF01314;PF02730	Aldehyde ferredoxin oxidoreductase, domains 2 & 3;Aldehyde ferredoxin oxidoreductase, N-terminal domain			IPR001203;IPR013983	Aldehyde ferredoxin oxidoreductase, C-terminal;Aldehyde ferredoxin oxidoreductase, N-terminal	GO:0051536;GO:0016491;GO:0016625;GO:0055114;GO:0009055							
NODE_6_length_217728_cov_7.34607_165509_169027_+	PF01558;PF17147;PF01855;PF03190	Pyruvate ferredoxin/flavodoxin oxidoreductase;Pyruvate:ferredoxin oxidoreductase core domain II;Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg;Protein of unknown function, DUF255			IPR019752;IPR033412;IPR022367;IPR002880;IPR004879	Pyruvate/ketoisovalerate oxidoreductase, catalytic domain;Pyruvate:ferredoxin oxidoreductase, core domain II;2-oxoacid:acceptor oxidoreductase, alpha subunit;Pyruvate flavodoxin/ferredoxin oxidoreductase, N-terminal;Domain of unknown function DUF255	GO:0016903;GO:0055114;GO:0016491	ko00650;ko00620;ko00010;ko00020	1.2.7.11	TIGR03710	OAFO_sf: 2-oxoacid:acceptor oxidoreductase, alpha subunit			
NODE_6_length_217728_cov_7.34607_169425_170895_+	PF00132;PF00291	Bacterial transferase hexapeptide (six repeats);Pyridoxal-phosphate dependent enzyme			IPR001451;IPR005859;IPR005881;IPR001926;IPR005856	Hexapeptide repeat;Cysteine synthase CysK;Serine O-acetyltransferase;Pyridoxal-phosphate dependent enzyme;Cysteine synthase	GO:0004124;GO:0009001;GO:0006535;GO:0005737	ko00270;ko00920;ko00998	2.5.1.47;2.3.1.30	TIGR01136;TIGR01139;TIGR01172	cysKM: cysteine synthase;cysK: cysteine synthase A;cysE: serine O-acetyltransferase			
NODE_6_length_217728_cov_7.34607_171224_172216_+	PF00579	tRNA synthetases class I (W and Y)			IPR024109;IPR002305;IPR002306	Tryptophan-tRNA ligase, bacterial-type;Aminoacyl-tRNA synthetase, class Ic;Tryptophan-tRNA ligase	GO:0004830;GO:0004812;GO:0005524;GO:0006436;GO:0006418;GO:0000166	ko00970	6.1.1.2	TIGR00233	trpS: tryptophan--tRNA ligase	MF_00140_B	Tryptophan--tRNA ligase [trpS].	
NODE_6_length_217728_cov_7.34607_172345_173370_-	PF09084	NMT1/THI5 like			IPR015168	SsuA/THI5-like								
NODE_6_length_217728_cov_7.34607_173480_174038_+	PF01066	CDP-alcohol phosphatidyltransferase			IPR000462	CDP-alcohol phosphatidyltransferase	GO:0008654;GO:0016020;GO:0016780							
NODE_6_length_217728_cov_7.34607_174334_176985_+	PF00133;PF08264;PF10458	tRNA synthetases class I (I, L, M and V);Anticodon-binding domain of tRNA;Valyl tRNA synthetase tRNA binding arm			IPR002303;IPR019499;IPR002300;IPR013155	Valine-tRNA ligase;Valyl-tRNA synthetase,  tRNA-binding arm;Aminoacyl-tRNA synthetase, class Ia;Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding	GO:0006438;GO:0005524;GO:0006418;GO:0004812;GO:0005737;GO:0000166;GO:0004832	ko00970	6.1.1.9	TIGR00422	valS: valine--tRNA ligase	MF_02004	Valine--tRNA ligase [valS].	
NODE_6_length_217728_cov_7.34607_17634_19611_+	PF00005;PF12698;PF13732	ABC transporter;ABC-2 family transporter protein;Domain of unknown function (DUF4162)			IPR003439;IPR025302	ABC transporter-like;Domain of unknown function DUF4162	GO:0005524;GO:0016887							
NODE_6_length_217728_cov_7.34607_177027_178322_+	PF02875;PF08245	Mur ligase family, glutamate ligase domain;Mur ligase middle domain			IPR004101;IPR013221;IPR001645	Mur ligase, C-terminal;Mur ligase, central;Folylpolyglutamate synthetase	GO:0005524;GO:0004326;GO:0009396;GO:0009058;GO:0016874	ko00790	6.3.2.17	TIGR01499	folC: bifunctional protein FolC			
NODE_6_length_217728_cov_7.34607_179627_180152_-	PF14277	Domain of unknown function (DUF4364)			IPR025374	Protein of unknown function DUF4364								
NODE_6_length_217728_cov_7.34607_180241_180544_-	PF00269	Small, acid-soluble spore proteins, alpha/beta type			IPR001448	Small acid-soluble spore protein, alpha/beta-type	GO:0003690;GO:0006265							
NODE_6_length_217728_cov_7.34607_180723_181496_+	PF01522	Polysaccharide deacetylase			IPR002509;IPR014132	NodB homology domain;Sporulation polysaccharide deacetylase, PdaB	GO:0005975;GO:0016810			TIGR02764	spore_ybaN_pdaB: polysaccharide deacetylase family sporulation protein PdaB			CE4
NODE_6_length_217728_cov_7.34607_181518_183423_+	PF00436;PF08245	Single-strand binding protein family;Mur ligase middle domain			IPR000424;IPR013221	Primosome PriB/single-strand DNA-binding;Mur ligase, central	GO:0003697;GO:0005524;GO:0009058							
NODE_6_length_217728_cov_7.34607_183695_184249_+	PF00156	Phosphoribosyl transferase domain			IPR000836;IPR005904	Phosphoribosyltransferase domain;Hypoxanthine phosphoribosyl transferase	GO:0009116;GO:0004422;GO:0006166	ko00230;ko00983	2.4.2.8	TIGR01203	HGPRTase: hypoxanthine phosphoribosyltransferase			
NODE_6_length_217728_cov_7.34607_184333_185253_+	PF02517	CPBP intramembrane metalloprotease			IPR003675	CAAX prenyl protease 2	GO:0071586;GO:0030176;GO:0004197;GO:0016020							
NODE_6_length_217728_cov_7.34607_185318_185515_+	PF00269	Small, acid-soluble spore proteins, alpha/beta type			IPR001448	Small acid-soluble spore protein, alpha/beta-type	GO:0003690;GO:0006265							
NODE_6_length_217728_cov_7.34607_185539_186273_+	PF13649	Methyltransferase domain			IPR041698	Methyltransferase domain 25								
NODE_6_length_217728_cov_7.34607_186420_186620_+	PF00313	'Cold-shock' DNA-binding domain			IPR002059	Cold-shock protein, DNA-binding	GO:0003676							
NODE_6_length_217728_cov_7.34607_186708_187630_+	PF01430	Hsp33 protein			IPR000397	Heat shock protein Hsp33	GO:0005737;GO:0006457;GO:0051082					MF_00117	33 kDa chaperonin [hslO].	
NODE_6_length_217728_cov_7.34607_188795_189637_+	PF08812	YtxC-like family			IPR014199	Sporulation protein YtxC								
NODE_6_length_217728_cov_7.34607_189740_191056_+	PF03129;PF13393	Anticodon binding domain;Histidyl-tRNA synthetase			IPR015807;IPR004154;IPR041715	Histidine-tRNA ligase;Anticodon-binding;Class II Histidinyl-tRNA synthetase (HisRS)-like catalytic core domain	GO:0004821;GO:0005524;GO:0006427	ko00970	6.1.1.21	TIGR00442	hisS: histidine--tRNA ligase	MF_00127	Histidine--tRNA ligase [hisS].	
NODE_6_length_217728_cov_7.34607_191393_193315_+	PF00587;PF07973;PF02824;PF03129	tRNA synthetase class II core domain (G, H, P, S and T);Threonyl and Alanyl tRNA synthetase second additional domain;TGS domain;Anticodon binding domain			IPR002320;IPR004154;IPR012947;IPR002314;IPR004095	Threonine-tRNA ligase, class IIa;Anticodon-binding;Threonyl/alanyl tRNA synthetase, SAD;Aminoacyl-tRNA synthetase, class II (G/ P/ S/T);TGS	GO:0006435;GO:0005737;GO:0006418;GO:0000166;GO:0004812;GO:0043039;GO:0004829;GO:0005524	ko00970	6.1.1.3	TIGR00418	thrS: threonine--tRNA ligase	MF_00184	Threonine--tRNA ligase [thrS].	
NODE_6_length_217728_cov_7.34607_193344_194261_-	PF04069	Substrate binding domain of ABC-type glycine betaine transport system			IPR007210	ABC-type glycine betaine transport system, substrate-binding domain	GO:0022857;GO:0043190;GO:0055085							
NODE_6_length_217728_cov_7.34607_194276_196097_-	PF00005;PF00528;PF00571	ABC transporter;Binding-protein-dependent transport system inner membrane component;CBS domain			IPR003439;IPR005892;IPR000515;IPR000644	ABC transporter-like;Glycine betaine transport ATP-binding subunit;ABC transporter type 1, transmembrane domain MetI-like;CBS domain	GO:0005524;GO:0055085;GO:0031460;GO:0016887;GO:0016020			TIGR01186	proV: glycine betaine/L-proline transport ATP binding subunit			
NODE_6_length_217728_cov_7.34607_196225_196857_-	PF00392;PF02080	Bacterial regulatory proteins, gntR family;TrkA-C domain			IPR000524;IPR006037	Transcription regulator HTH, GntR;Regulator of K+ conductance, C-terminal	GO:0003700;GO:0008324;GO:0006355;GO:0006813							
NODE_6_length_217728_cov_7.34607_19652_21921_+	PF00291;PF12698	Pyridoxal-phosphate dependent enzyme;ABC-2 family transporter protein			IPR001926;IPR005966	Pyridoxal-phosphate dependent enzyme;D-cysteine desulfhydrase	GO:0003824	ko00270	4.4.1.15	TIGR01275	ACC_deam_rel: pyridoxal phosphate-dependent enzymes, D-cysteine desulfhydrase family			
NODE_6_length_217728_cov_7.34607_196976_198596_-	PF00004;PF01434;PF17862	ATPase family associated with various cellular activities (AAA);Peptidase family M41;AAA+ lid domain			IPR005936;IPR041569;IPR003959;IPR000642	Peptidase, FtsH;AAA ATPase, AAA+ lid domain;ATPase, AAA-type, core;Peptidase M41	GO:0004222;GO:0006508;GO:0016020;GO:0005524			TIGR01241	FtsH_fam: ATP-dependent metallopeptidase HflB	MF_01458	ATP-dependent zinc metalloprotease FtsH [ftsH].	
NODE_6_length_217728_cov_7.34607_198673_200070_+	PF01546;PF07687	Peptidase family M20/M25/M40;Peptidase dimerisation domain			IPR002933;IPR011650;IPR010964	Peptidase M20;Peptidase M20, dimerisation domain;Peptidase M20A, peptidase V-related	GO:0016787;GO:0008270;GO:0016805			TIGR01887	dipeptidaselike: putative dipeptidase			
NODE_6_length_217728_cov_7.34607_200298_200817_+	PF00707;PF05198	Translation initiation factor IF-3, C-terminal domain;Translation initiation factor IF-3, N-terminal domain			IPR001288;IPR019815;IPR019814	Translation initiation factor 3;Translation initiation factor 3, C-terminal;Translation initiation factor 3, N-terminal	GO:0003743;GO:0006413			TIGR00168	infC: translation initiation factor IF-3	MF_00080	Translation initiation factor IF-3 [infC].	
NODE_6_length_217728_cov_7.34607_200834_201053_+	PF01632	Ribosomal protein L35			IPR001706;IPR021137	Ribosomal protein L35, non-mitochondrial;Ribosomal protein L35	GO:0003735;GO:0005840;GO:0006412			TIGR00001	rpmI_bact: ribosomal protein bL35	MF_00514	50S ribosomal protein L35 [rpmI].	
NODE_6_length_217728_cov_7.34607_201068_201418_+	PF00453	Ribosomal protein L20			IPR005813	Ribosomal protein L20	GO:0019843;GO:0006412;GO:0003735;GO:0005840			TIGR01032	rplT_bact: ribosomal protein bL20	MF_00382	50S ribosomal protein L20 [rplT].	
NODE_6_length_217728_cov_7.34607_201485_202291_+	PF00588;PF08032	SpoU rRNA Methylase family;RNA 2'-O ribose methyltransferase substrate binding			IPR001537;IPR013123	tRNA/rRNA methyltransferase, SpoU type;RNA 2-O ribose methyltransferase, substrate binding	GO:0003723;GO:0008168;GO:0006396;GO:0008173							
NODE_6_length_217728_cov_7.34607_202373_203395_+	PF01409;PF02912	tRNA synthetases class II core domain (F);Aminoacyl tRNA synthetase class II, N-terminal domain			IPR022911;IPR004529;IPR002319;IPR004188	Phenylalanine-tRNA ligase alpha chain 1, bacterial;Phenylalanyl-tRNA synthetase, class IIc, alpha subunit;Phenylalanyl-tRNA synthetase;Phenylalanine-tRNA ligase, class II, N-terminal	GO:0004826;GO:0004812;GO:0005524;GO:0005737;GO:0006432;GO:0000166;GO:0043039;GO:0000049	ko00970	6.1.1.20	TIGR00468	pheS: phenylalanine--tRNA ligase, alpha subunit	MF_00281	Phenylalanine--tRNA ligase alpha subunit [pheS].	
NODE_6_length_217728_cov_7.34607_203416_205812_+	PF01588;PF03484;PF17759;PF03147;PF03483	Putative tRNA binding domain;tRNA synthetase B5 domain;Phenylalanyl tRNA synthetase beta chain CLM domain;Ferredoxin-fold anticodon binding domain;B3/4 domain			IPR004532;IPR005146;IPR005147;IPR041616;IPR002547;IPR005121	Phenylalanine-tRNA ligase, class IIc, beta subunit;B3/B4 tRNA-binding domain;tRNA synthetase, B5-domain;Phenylalanyl tRNA synthetase beta chain, core domain;tRNA-binding domain;Ferrodoxin-fold anticodon-binding domain	GO:0006432;GO:0005524;GO:0000049;GO:0003723;GO:0000287;GO:0004826	ko00970	6.1.1.20	TIGR00472	pheT_bact: phenylalanine--tRNA ligase, beta subunit	MF_00283	Phenylalanine--tRNA ligase beta subunit [pheT].	
NODE_6_length_217728_cov_7.34607_205901_206476_+	PF05164	Cell division protein ZapA			IPR007838	Cell division protein ZapA-like								
NODE_6_length_217728_cov_7.34607_206480_208903_+	PF01136;PF12392	Peptidase family U32;Collagenase			IPR001539;IPR020988	Peptidase U32;Peptidase U32, collagenase	GO:0006508;GO:0008233							
NODE_6_length_217728_cov_7.34607_208918_211296_+	PF00488;PF01713	MutS domain V;Smr domain			IPR005747;IPR000432;IPR002625	Endonuclease MutS2;DNA mismatch repair protein MutS, C-terminal;Smr domain	GO:0045910;GO:0030983;GO:0005524;GO:0006298;GO:0004519;GO:0016887			TIGR01069	mutS2: MutS2 family protein	MF_00092	Endonuclease MutS2 [mutS2].	
NODE_6_length_217728_cov_7.34607_211593_213293_+	PF00750;PF03485;PF05746	tRNA synthetases class I (R);Arginyl tRNA synthetase N terminal domain;DALR anticodon binding domain			IPR001278;IPR008909;IPR035684;IPR005148	Arginine-tRNA ligase;DALR anticodon binding;Arginyl-tRNA synthetase, catalytic core domain;Arginyl tRNA synthetase N-terminal domain	GO:0004814;GO:0005737;GO:0000166;GO:0005524;GO:0006420	ko00970	6.1.1.19	TIGR00456	argS: arginine--tRNA ligase	MF_00123	Arginine--tRNA ligase [argS].	
NODE_6_length_217728_cov_7.34607_213723_214350_+	PF02310	B12 binding domain			IPR006158	Cobalamin (vitamin B12)-binding domain	GO:0031419;GO:0046872							
NODE_6_length_217728_cov_7.34607_214371_217390_+	PF04055;PF13311;PF07719;PF13181	Radical SAM superfamily;Protein of unknown function (DUF4080);Tetratricopeptide repeat;Tetratricopeptide repeat			IPR007197;IPR025288;IPR013105;IPR019734	Radical SAM;Domain of unknown function DUF4080;Tetratricopeptide repeat 2;Tetratricopeptide repeat	GO:0003824;GO:0051536;GO:0005515							
NODE_6_length_217728_cov_7.34607_21943_22810_+	PF11518;PF13185	Protein of unknown function (DUF3221);GAF domain			IPR021598;IPR003018	Protein of unknown function DUF3221;GAF domain	GO:0005515							
NODE_6_length_217728_cov_7.34607_23074_25231_+	PF02867;PF03477	Ribonucleotide reductase, barrel domain;ATP cone domain			IPR000788;IPR005144;IPR013344	Ribonucleotide reductase large subunit, C-terminal;ATP-cone domain;Ribonucleotide reductase, adenosylcobalamin-dependent	GO:0006260;GO:0004748;GO:0031419;GO:0055114;GO:0000166	ko00983;ko00480;ko00230;ko00240	1.17.4.1	TIGR02504	NrdJ_Z: ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent			
NODE_6_length_217728_cov_7.34607_25361_28184_+	PF01546;PF01555;PF07687	Peptidase family M20/M25/M40;DNA methylase;Peptidase dimerisation domain			IPR002933;IPR001160;IPR002941;IPR011650	Peptidase M20;Peptidase M20C, Xaa-His dipeptidase;DNA methylase N-4/N-6;Peptidase M20, dimerisation domain	GO:0016787;GO:0008170;GO:0006508;GO:0003677;GO:0006306			TIGR01893	aa-his-dipept: Xaa-His dipeptidase			
NODE_6_length_217728_cov_7.34607_28262_28627_+	PF06949	Protein of unknown function (DUF1292)			IPR009711	Uncharacterised protein family UPF0473						MF_01448	UPF0473 protein <locus_tag>.	
NODE_6_length_217728_cov_7.34607_28707_30014_+	PF02127	Aminopeptidase I zinc metalloprotease (M18)			IPR001948	Peptidase M18	GO:0004177;GO:0006508;GO:0008270							
NODE_6_length_217728_cov_7.34607_30040_30873_+	PF08282	haloacid dehalogenase-like hydrolase			IPR000150;IPR006379	Cof family;HAD-superfamily hydrolase, subfamily IIB	GO:0016787			TIGR00099;TIGR01484	Cof-subfamily: Cof-like hydrolase;HAD-SF-IIB: HAD hydrolase, family IIB			
NODE_6_length_217728_cov_7.34607_30883_31870_+	PF04055;PF16199	Radical SAM superfamily;Radical_SAM C-terminal domain			IPR007197;IPR032432;IPR005911	Radical SAM;Radical SAM, C-terminal extension;Protein YhcC-like	GO:0003824;GO:0051536			TIGR01212	TIGR01212: radical SAM protein, TIGR01212 family			
NODE_6_length_217728_cov_7.34607_32409_32594_-	PF07561	Domain of Unknown Function (DUF1540)			IPR011437	Domain of unknown function DUF1540								
NODE_6_length_217728_cov_7.34607_33456_34718_+	PF00278;PF02784	Pyridoxal-dependent decarboxylase, C-terminal sheet domain;Pyridoxal-dependent decarboxylase, pyridoxal binding domain			IPR002986;IPR022643;IPR022644	Diaminopimelate decarboxylase, LysA;Orn/DAP/Arg decarboxylase 2, C-terminal;Orn/DAP/Arg decarboxylase 2, N-terminal	GO:0008836;GO:0009089;GO:0003824	ko00300	4.1.1.20	TIGR01048	lysA: diaminopimelate decarboxylase	MF_02120	Diaminopimelate decarboxylase [lysA].	
NODE_6_length_217728_cov_7.34607_34854_36035_+	PF01546;PF07687	Peptidase family M20/M25/M40;Peptidase dimerisation domain			IPR002933;IPR011650;IPR017439	Peptidase M20;Peptidase M20, dimerisation domain;Amidohydrolase	GO:0016787			TIGR01891	amidohydrolases: amidohydrolase			
NODE_6_length_217728_cov_7.34607_3508_3765_+	PF02597	ThiS family			IPR003749	Sulfur carrier ThiS/MoaD-like								
NODE_6_length_217728_cov_7.34607_36086_36697_+	PF07670	Nucleoside recognition			IPR011642	Nucleoside transporter/FeoB GTPase, Gate domain								
NODE_6_length_217728_cov_7.34607_36713_39042_+	PF01678;PF17676;PF02016;PF07670	Diaminopimelate epimerase;LD-carboxypeptidase C-terminal domain;LD-carboxypeptidase N-terminal domain;Nucleoside recognition			IPR001653;IPR040921;IPR040449;IPR011642	Diaminopimelate epimerase, DapF;LD-carboxypeptidase, C-terminal;LD-carboxypeptidase, N-terminal;Nucleoside transporter/FeoB GTPase, Gate domain	GO:0008837;GO:0009089	ko00300	5.1.1.7	TIGR00652	DapF: diaminopimelate epimerase	MF_00197	Diaminopimelate epimerase [dapF].	
NODE_6_length_217728_cov_7.34607_39061_40317_+	PF00375	Sodium:dicarboxylate symporter family			IPR001991	Sodium:dicarboxylate symporter	GO:0015293;GO:0016021							
NODE_6_length_217728_cov_7.34607_4157_5443_+	PF01979	Amidohydrolase family			IPR006680	Amidohydrolase-related	GO:0016787							
NODE_6_length_217728_cov_7.34607_41662_44386_-	PF00005;PF01032;PF01497	ABC transporter;FecCD transport family;Periplasmic binding protein			IPR003439;IPR000522;IPR002491	ABC transporter-like;ABC transporter, permease protein, BtuC-like;ABC transporter periplasmic binding domain	GO:0005524;GO:0022857;GO:0016887;GO:0016020							
NODE_6_length_217728_cov_7.34607_44839_46675_+	PF00300;PF02283;PF02654	Histidine phosphatase superfamily (branch 1);Cobinamide kinase / cobinamide phosphate guanyltransferase;Cobalamin-5-phosphate synthase			IPR003805;IPR013078;IPR003203	Adenosylcobinamide-GDP ribazoletransferase;Histidine phosphatase superfamily, clade-1;Cobinamide kinase/cobinamide phosphate guanyltransferase	GO:0008818;GO:0051188;GO:0000166;GO:0043752;GO:0009236;GO:0051073	ko00860	2.7.8.26;2.7.7.62;2.7.1.156	TIGR00317	cobS: cobalamin 5'-phosphate synthase	MF_00719	Adenosylcobinamide-GDP ribazoletransferase [cobS].	
NODE_6_length_217728_cov_7.34607_46707_48490_+	PF03186;PF13500	CobD/Cbib protein;AAA domain			IPR004485;IPR004459	Cobalamin biosynthesis CobD/CbiB;Cobyric acid synthase CobQ	GO:0009236;GO:0003824;GO:0016021;GO:0048472			TIGR00380	cobD: cobalamin biosynthesis protein CobD	MF_00024;MF_00028	Cobalamin biosynthesis protein CbiB [cbiB].;Cobyric acid synthase [cobQ].	
NODE_6_length_217728_cov_7.34607_48503_51398_+	PF00155;PF04071;PF00480;PF01656	Aminotransferase class I and II;Cysteine-rich small domain;ROK family;CobQ/CobB/MinD/ParA nucleotide binding domain			IPR004839;IPR007212;IPR000600;IPR002586	Aminotransferase, class I/classII;Cysteine-rich small domain;ROK family;CobQ/CobB/MinD/ParA nucleotide binding domain	GO:0009058;GO:0030170							
NODE_6_length_217728_cov_7.34607_51400_51839_-	PF01741	Large-conductance mechanosensitive channel, MscL			IPR001185;IPR037673	Large-conductance mechanosensitive channel;Large-conductance mechanosensitive channel/anditomin synthesis protein L	GO:0008381;GO:0016021;GO:0034220			TIGR00220	mscL: large conductance mechanosensitive channel protein	MF_00115	Large-conductance mechanosensitive channel [mscL].	
NODE_6_length_217728_cov_7.34607_52004_54661_+	PF01420;PF02384;PF12161	Type I restriction modification DNA specificity domain;N-6 DNA Methylase;HsdM N-terminal domain			IPR000055;IPR003356;IPR022749	Restriction endonuclease, type I, HsdS;DNA methylase, adenine-specific;N6 adenine-specific DNA methyltransferase, N-terminal domain	GO:0003677;GO:0008170;GO:0006304;GO:0006306							
NODE_6_length_217728_cov_7.34607_54688_58041_+	PF00271;PF08463;PF13643;PF04313;PF04851	Helicase conserved C-terminal domain;EcoEI R protein C-terminal;Domain of unknown function (DUF4145);Type I restriction enzyme R protein N terminus (HSDR_N);Type III restriction enzyme, res subunit			IPR001650;IPR013670;IPR025285;IPR007409;IPR006935	Helicase, C-terminal;EcoEI R protein C-terminal domain;Domain of unknown function DUF4145;Restriction endonuclease, type I, HsdR, N-terminal;Helicase/UvrB, N-terminal	GO:0003677;GO:0005524;GO:0016787;GO:0003824;GO:0004519;GO:0006304							
NODE_6_length_217728_cov_7.34607_5478_7570_+	PF01048;PF03747	Phosphorylase superfamily;ADP-ribosylglycohydrolase			IPR004402;IPR000845;IPR005502	Purine nucleoside phosphorylase DeoD-type;Nucleoside phosphorylase domain;ADP-ribosylation/Crystallin J1	GO:0004731;GO:0009116;GO:0006139;GO:0003824	ko00230;ko00240;ko00760	2.4.2.1	TIGR00107	deoD: purine nucleoside phosphorylase	MF_01627	Purine nucleoside phosphorylase DeoD-type [deoD].	
NODE_6_length_217728_cov_7.34607_58095_59285_-	PF00258;PF00753	Flavodoxin;Metallo-beta-lactamase superfamily			IPR008254;IPR001279	Flavodoxin/nitric oxide synthase;Metallo-beta-lactamase	GO:0010181							
NODE_6_length_217728_cov_7.34607_59456_59695_+	PF13417	Glutathione S-transferase, N-terminal domain			IPR004045	Glutathione S-transferase, N-terminal	GO:0005515							
NODE_6_length_217728_cov_7.34607_60081_61253_+	PF00465	Iron-containing alcohol dehydrogenase			IPR001670	Alcohol dehydrogenase, iron-type/glycerol dehydrogenase GldA	GO:0016491;GO:0046872;GO:0055114							
NODE_6_length_217728_cov_7.34607_61865_62315_+	PF13302	Acetyltransferase (GNAT) domain			IPR000182	GNAT domain	GO:0008080							
NODE_6_length_217728_cov_7.34607_62512_63465_-	PF00892	EamA-like transporter family			IPR000620	EamA domain	GO:0016020;GO:0016021							
NODE_6_length_217728_cov_7.34607_64119_65246_+	PF04055	Radical SAM superfamily			IPR007197	Radical SAM	GO:0003824;GO:0051536							
NODE_6_length_217728_cov_7.34607_65423_68343_+	PF01979;PF03606	Amidohydrolase family;C4-dicarboxylate anaerobic carrier			IPR006680;IPR018385;IPR010229	Amidohydrolase-related;C4-dicarboxylate anaerobic carrier-like;Peptidase M38, beta-aspartyl dipeptidase	GO:0016787;GO:0016021;GO:0008798			TIGR01975	isoAsp_dipep: beta-aspartyl peptidase			
NODE_6_length_217728_cov_7.34607_69115_70083_+	PF00849;PF01479	RNA pseudouridylate synthase;S4 domain			IPR006145;IPR002942;IPR006225	Pseudouridine synthase, RsuA/RluA;RNA-binding S4 domain;Pseudouridine synthase, RluC/RluD	GO:0009982;GO:0009451;GO:0001522;GO:0003723			TIGR00005	rluA_subfam: pseudouridine synthase, RluA family			
NODE_6_length_217728_cov_7.34607_70105_74144_+	PF00485;PF00580;PF00933	Phosphoribulokinase / Uridine kinase family;UvrD/REP helicase N-terminal domain;Glycosyl hydrolase family 3 N terminal domain			IPR006083;IPR034739;IPR001764	Phosphoribulokinase/uridine kinase;UvrD/AddA helicase, N-terminal;Glycoside hydrolase, family 3, N-terminal	GO:0005524;GO:0005975;GO:0016301;GO:0004553							GH3
NODE_6_length_217728_cov_7.34607_74215_81529_+	PF00580;PF13361;PF04257;PF12705	UvrD/REP helicase N-terminal domain;UvrD-like helicase C-terminal domain;Exodeoxyribonuclease V, gamma subunit;PD-(D/E)XK nuclease superfamily			IPR034739;IPR038726;IPR014017	UvrD/AddA helicase, N-terminal;PD-(D/E)XK endonuclease-like domain, AddAB-type;UvrD-like DNA helicase, C-terminal	GO:0005524;GO:0016787							
NODE_6_length_217728_cov_7.34607_7592_8683_+	PF02608	ABC transporter substrate-binding protein PnrA-like			IPR003760	ABC transporter substrate-binding protein PnrA-like	GO:0005886							
NODE_6_length_217728_cov_7.34607_81582_82067_+	PF01047	MarR family			IPR000835	MarR-type HTH domain	GO:0003700;GO:0006355							
NODE_6_length_217728_cov_7.34607_82126_83790_+	PF00005;PF00664	ABC transporter;ABC transporter transmembrane region			IPR003439;IPR011527	ABC transporter-like;ABC transporter type 1, transmembrane domain	GO:0005524;GO:0016021;GO:0042626;GO:0016887;GO:0055085							
NODE_6_length_217728_cov_7.34607_84294_85259_+	PF01522	Polysaccharide deacetylase			IPR002509	NodB homology domain	GO:0005975;GO:0016810							CE4
NODE_6_length_217728_cov_7.34607_85275_87387_+	PF00072;PF00672;PF02518;PF00486;PF00512	Response regulator receiver domain;HAMP domain;Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase;Transcriptional regulatory protein, C terminal;His Kinase A (phospho-acceptor) domain			IPR001789;IPR003660;IPR003594;IPR001867;IPR003661	Signal transduction response regulator, receiver domain;HAMP domain;Histidine kinase/HSP90-like ATPase;OmpR/PhoB-type DNA-binding domain;Signal transduction histidine kinase, dimerisation/phosphoacceptor domain	GO:0000160;GO:0000155;GO:0007165;GO:0016021;GO:0003677;GO:0006355							
NODE_6_length_217728_cov_7.34607_8763_11373_+	PF00005;PF02653	ABC transporter;Branched-chain amino acid transport system / permease component			IPR003439;IPR001851	ABC transporter-like;ABC transporter, permease	GO:0005524;GO:0022857;GO:0055085;GO:0016887;GO:0016020							
